date,temp_mean(c),temp_min(c),temp_max(c),Pressure,global_radiation,Wind_Speed,Wind_Bearing,satellite_activity_index,norad_density_index,normalized_label
2025-01-01,15.229012728613537,9.124752917564395,18.47023792687284,1015.0118511011023,15.966566683414635,1.6223038947525217,41,0.5467913660733804,29,0.7217723752468186
2025-01-02,11.213566544982319,5.598107551635161,15.434159464499922,1009.8764720306159,-39.85055429408307,5.293620595256022,274,0.3285030241623169,28,0.35899272957202105
2025-01-03,13.631774207475445,6.580274447383754,16.166551719571245,1013.3306057552513,-14.130510361107431,4.400973231454451,113,0.506173360751548,53,0.577468206231007
2025-01-04,10.352514638840727,11.058383809092096,15.480304989128669,1003.9860245851281,22.370931303356453,3.4096347675173844,228,0.5291857714107691,33,0.2812001030163406
2025-01-05,13.439988523270015,7.993128001936558,16.43726216513082,1012.6949381065928,7.195103527736552,5.974587427846899,35,0.5882744991510311,59,0.5601411298913546
2025-01-06,9.092884081944462,7.4021690519173875,18.730639744386288,1014.1340439379856,-1.6334692934152668,1.7251804935316797,246,0.35492758020473913,44,0.16739747530966487
2025-01-07,12.967498658353117,8.798134005445533,14.668144913030511,1009.2042840149276,-4.481939286289138,2.979729947806783,10,0.4248277620998772,41,0.5174535435209459
2025-01-08,9.504344763528856,9.364678181695188,14.328512883920855,1010.5805868713634,23.798648970257624,2.043178924952668,123,0.7144557079073692,49,0.2045713168824365
2025-01-09,12.201522851194404,6.9050935576660555,17.595694160907723,1008.6992518763714,-0.005432098479892122,3.0332422787022324,94,0.6858673616429294,23,0.4482506656317411
2025-01-10,13.27844947246892,7.738906740235928,11.109787888981902,1012.0238896254348,-15.408872612957124,2.100517427808928,6,0.7038319822277548,30,0.5455467169837286
2025-01-11,13.820334651394495,11.216271761149898,17.585978071075104,1007.7517581767069,-3.0336451762367016,5.774833233981747,75,0.7902674725639507,37,0.5945038948954671
2025-01-12,16.17226018073053,9.365045110429921,21.42505969536469,1004.5575458392526,0.49195455312291947,5.33787400777846,178,0.46596027732755907,24,0.8069910435625798
2025-01-13,14.34158797287312,9.461403951930217,18.28983074010034,1014.6406966559462,7.03835558662203,5.651879095743167,199,0.40277452050280405,39,0.6415970662704651
2025-01-14,15.196872960148307,4.661808098070956,16.640409979159692,1013.8567861995928,-6.952415552359857,4.55330691513074,20,0.6423146050005613,50,0.7188686745663272
2025-01-15,11.954790153078797,6.4072838537283765,13.913684317205874,1008.7331198441661,19.67774631594836,4.913469865457452,241,0.6139554788952359,39,0.42595934439236083
2025-01-16,15.93522879146514,7.710979870263049,18.22672132400649,1014.6424580061398,4.834975883318776,3.40168887738374,121,0.7464294940864892,36,0.7855761971223416
2025-01-17,16.264078408478895,7.527419791867736,16.30067486034027,1010.5535036734781,5.28600351719902,2.091850032180677,88,0.8146000066503745,56,0.8152864564770463
2025-01-18,13.195490480057693,11.323063159699075,13.923667244076423,1014.1651800257958,2.745287394867255,4.177913085660992,169,0.3506855301994445,32,0.5380517008644322
2025-01-19,15.129697740440477,11.56933544561802,19.060543112887153,1012.6992604245555,14.98111634075209,2.4459467984763013,81,0.6431997934616842,35,0.7127996597447427
2025-01-20,9.822271045161663,8.910066153483289,16.077519239934357,1018.4816148939531,-15.608726631590338,3.540162838972304,178,0.5576379865420596,49,0.23329469618499632
2025-01-21,9.695563317460255,9.360892888810023,17.129074643547018,1006.912059265291,1.5047540459834605,1.2033753051658143,257,0.7631939561982752,34,0.22184715524990475
2025-01-22,14.280171136098149,7.930816305761732,17.22308960954275,1014.3445674624879,12.77993587090381,3.2058344060268653,61,0.45075602448753627,48,0.6360482985209389
2025-01-23,17.04754184863732,12.472782928755766,16.18286764827142,1010.42977439681,10.288900871621207,4.344073867762837,178,0.4813449193626542,57,0.886069272687723
2025-01-24,16.36682285680365,9.28325239571789,18.24961623600022,1012.4116911575328,-1.385885942597074,2.385434310272476,354,0.7774653407947254,49,0.8245690101096295
2025-01-25,10.38406435024997,7.684804794199969,17.265435542889698,1015.6577731061749,16.55922697420761,1.4372984701300897,129,0.3835293987012032,52,0.28405049438077834
2025-01-26,9.660223140108572,9.622816353637049,18.46532300725511,1012.0156868236905,8.974058065531668,2.345933715824458,314,0.4912663889952937,53,0.21865431031277396
2025-01-27,9.62303600801644,8.761061779376922,12.52431557033343,1016.4758268109338,30.120350149424173,2.805160596690448,84,0.46496212055829866,27,0.21529460033607448
2025-01-28,12.406115503513032,6.9635650720827735,18.68191428796428,1014.870993074563,14.841238264179708,2.5471101306331403,211,0.40906402751349136,43,0.4667348007742768
2025-01-29,15.14212370338323,10.895621166989125,20.06505207604253,1013.4929898186764,-7.189814407346696,1.9543343348598354,47,0.7519245878906314,30,0.7139222962407605
2025-01-30,13.197386822705543,6.924561248652871,16.735031164966017,1009.6317300476078,3.0283863051376883,1.3748638488678475,355,0.57824892876662,58,0.5382230279056636
2025-01-31,9.135736907277089,9.986680017303618,17.194356486610612,1011.619777885261,-1.126049837338113,4.302438560036078,201,0.44751391544649133,37,0.17126905821213473
2025-02-01,12.404980326358702,9.966733507719248,16.736292804379755,1008.8060213897309,5.23087948131231,3.741175123778425,84,0.7914689884286976,43,0.4666322420181653
2025-02-02,15.344095837048984,10.957692628114646,18.797671291393932,1008.6581318960025,-27.861873411742753,2.974331087257898,9,0.4923811128083077,46,0.7321696779106065
2025-02-03,11.403281742683637,11.594161360246042,15.865914170511196,1016.3804815393719,-22.014896512197435,1.1116748105075986,28,0.37757014738699024,41,0.37613274566332605
2025-02-04,12.60858531896398,9.613622920811588,16.68920167083926,1011.9507774772834,-5.875732721456584,4.6179624855385,356,0.7072510936940383,50,0.48502714602063074
2025-02-05,12.223217804498773,9.231476067049327,16.722937813357923,1016.8175131297198,14.931681756074065,5.072073542079985,350,0.7381006359478215,47,0.4502107186651434
2025-02-06,12.321897447322131,6.9346442844428395,19.354670649328522,1010.5571397336472,1.5179053014639616,4.816842496208578,58,0.7022330834915829,34,0.4591260332333491
2025-02-07,10.059896490771992,5.547060104489347,13.981467388027312,1013.0106022869019,-21.239342773619715,2.302262223417292,206,0.4248014023835061,23,0.25476321326119183
2025-02-08,7.689651823350182,10.340166439946913,14.521258022644316,1013.8573689862475,-7.922824923722234,3.6020690283916577,81,0.4573723753428579,22,0.04062100308412367
2025-02-09,7.962882662122891,6.490892247702537,18.441373440474827,1016.2443837882142,1.0412613093087684,2.780401379529801,142,0.7841352013510741,51,0.06530632629464503
2025-02-10,12.914437061099038,8.938463988169028,15.16235858999566,1011.5283924904628,6.143548586103576,3.4486818808728907,193,0.3929665183266672,22,0.5126596385424048
2025-02-11,13.216363954260794,7.9268382589461375,13.787604215363602,1006.5650788053117,26.842475488317884,2.938743422942096,36,0.3820276272500609,55,0.5399375365173348
